student_input,session_context,label,intent_name
whats good,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:overwhelmed | pace:dragging | slides:31,32,33",1,Off-Topic Question
When will we cover Classes and OOP?,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:87%,Functions&Scope:65%,Lambda Functions:71% | emotion:engaged | pace:fast | slides:45,46,47",1,Off-Topic Question
how do i write this,,0,On-Topic Question
can we stop for a sec,,3,Pace-Related
do u play games,,1,Off-Topic Question
I NEED A MINUTE,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:bored | pace:steady | slides:6,7,8",3,Pace-Related
"Slow down, I'm still on the last example.",,3,Pace-Related
im so tired,,2,Emotional-State
How long until we get to For Loops?,,1,Off-Topic Question
what does this line do,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:72%,Lambda Functions:61%,Error Handling:50% | emotion:tired | pace:rushed | slides:50,51,52",0,On-Topic Question
Is Dictionaries related to what we are doing now?,,1,Off-Topic Question
im hungry,,1,Off-Topic Question
Let me see that slide again.,,4,Repeat/clarification
im hungry,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:neutral | pace:normal | slides:18,19,20",1,Off-Topic Question
this is impossible,,2,Emotional-State
wait a minute,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:42%,Strings&Formatting:44% | emotion:overwhelmed | pace:dragging | slides:27,28,29",3,Pace-Related
what happened?,,4,Repeat/clarification
what if i fail?,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:65%,Strings&Formatting:78% | emotion:focused | pace:normal | slides:20,21,22",2,Emotional-State
Do we need to know about File Handling,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:64%,Strings&Formatting:82% | emotion:anxious | pace:fast | slides:51,52,53",1,Off-Topic Question
slow down im typing,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:55% | emotion:bored | pace:normal | slides:19,20,21",3,Pace-Related
whats good,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:81%,Arithmetic Operators:37%,Boolean Logic:47% | emotion:bored | pace:steady | slides:36,37,38",1,Off-Topic Question
i efel msart,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:32%,For Loops:83%,While Loops:41% | emotion:anxious | pace:dragging | slides:27,28,29",2,Emotional-State
can u do my math,,1,Off-Topic Question
slow,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:83%,Sets:51%,Functions&Scope:65% | emotion:excited | pace:steady | slides:38,39,40",3,Pace-Related
Can you go back to the previous slide for a second?,,4,Repeat/clarification
i quit,,2,Emotional-State
skip to the next part,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:56%,Lists&Tuples:55%,Dictionaries:98% | emotion:engaged | pace:slow | slides:56,57,58",3,Pace-Related
how do i write this,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:75%,Lambda Functions:52%,Error Handling:81% | emotion:tired | pace:moderate | slides:56,57,58",0,On-Topic Question
hurry up,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:64%,Dictionaries:32%,Sets:42% | emotion:neutral | pace:fast | slides:33,34,35",3,Pace-Related
"Give me a sec, I'm still processing.",,3,Pace-Related
What if I fail?,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:76%,Boolean Logic:52%,If/Else Conditionals:41% | emotion:overwhelmed | pace:fast | slides:46,47,48",2,Emotional-State
yo what,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:74%,Strings&Formatting:79%,Arithmetic Operators:57% | emotion:excited | pace:rushed | slides:54,55,56",2,Emotional-State
"I understood Arithmetic Operators but If/Else Conditionals feels completely different, why?","topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:46%,Arithmetic Operators:37%,Boolean Logic:38% | emotion:excited | pace:slow | slides:14,15,16",0,On-Topic Question
Huh? Can you rpeat?,,4,Repeat/clarification
speed it up,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:86%,If/Else Conditionals:91%,For Loops:87% | emotion:anxious | pace:normal | slides:51,52,53",3,Pace-Related
I'm so sleepy right now.,,2,Emotional-State
Don't rush this through please.,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:32%,Strings&Formatting:64% | emotion:anxious | pace:steady | slides:43,44,45",3,Pace-Related
whats the capital of france,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:78%,While Loops:93%,Lists&Tuples:71% | emotion:overwhelmed | pace:moderate | slides:20,21,22",1,Off-Topic Question
hol up,,3,Pace-Related
WHATS SYNTAX THE,,0,On-Topic Question
I WASN'T LISTENING,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:55%,Strings&Formatting:47% | emotion:confused | pace:steady | slides:18,19,20",4,Repeat/clarification
Go back to last that point please.,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:89%,Boolean Logic:73%,If/Else Conditionals:89% | emotion:frustrated | pace:slow | slides:4,5,6",4,Repeat/clarification
When should I use Arithmetic Operators vs the other approach?,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:85%,Strings&Formatting:54% | emotion:focused | pace:normal | slides:42,43,44",0,On-Topic Question
I feel like I'm not making any progress.,,2,Emotional-State
pause,,3,Pace-Related
"Hold on, I'm still writing notes.","topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:99%,If/Else Conditionals:87%,For Loops:36% | emotion:anxious | pace:slow | slides:31,32,33",3,Pace-Related
what does this line do?,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:65%,Strings&Formatting:93%,Arithmetic Operators:57% | emotion:confused | pace:slow | slides:5,6,7",0,On-Topic Question
Is Dicctinaries related to wwhhat ew are din now?,,1,Off-Topic Question
"Since I did well on Strings and Formatting, is Arithmetic Operators going to be similar?",,0,On-Topic Question
"saw I someone using Functions and Scope, what does it do!!","topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:75%,While Loops:60%,Lists&Tuples:85% | emotion:bored | pace:fast | slides:12,13,14",1,Off-Topic Question
ok so im not getting Strings and Formatting,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:32% | emotion:overwhelmed | pace:normal | slides:57,58,59",0,On-Topic Question
"I understood Variables and Data Types but Strings and Formatting feels completely different, why?","topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:57% | emotion:excited | pace:rushed | slides:11,12,13",0,On-Topic Question
can you write an essay for me,,1,Off-Topic Question
how do i write this,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:56%,While Loops:55%,Lists&Tuples:98% | emotion:focused | pace:dragging | slides:35,36,37",0,On-Topic Question
give me an example of and Formatting,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:69% | emotion:excited | pace:dragging | slides:20,21,22",0,On-Topic Question
whats the syntax,,0,On-Topic Question
u can repeat,,4,Repeat/clarification
TOO SLOW?,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:55%,Dictionaries:56%,Sets:95% | emotion:bored | pace:steady | slides:42,43,44",3,Pace-Related
smh,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:69%,Strings&Formatting:84% | emotion:anxious | pace:steady | slides:34,35,36",2,Emotional-State
slow tf down,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:37%,Boolean Logic:95%,If/Else Conditionals:89% | emotion:neutral | pace:dragging | slides:6,7,8",3,Pace-Related
im stuck File Handling,,0,On-Topic Question
Don't rush through this please.,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:82%,If/Else Conditionals:86%,For Loops:80% | emotion:engaged | pace:slow | slides:36,37,38",3,Pace-Related
slow,,3,Pace-Related
"hold on, i'm still writing notes.",,3,Pace-Related
like Variables my and Data Types code is broken,,0,On-Topic Question
How do I fix my car?,,1,Off-Topic Question
say that one more time,,4,Repeat/clarification
"honestly I saw someone using File Handling, what does it do?",,1,Off-Topic Question
whats ur name,,1,Off-Topic Question
run that back,,4,Repeat/clarification
can we pause,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:39%,Boolean Logic:77%,If/Else Conditionals:76% | emotion:excited | pace:steady | slides:58,59,60",3,Pace-Related
What's Error Handling (Try/Except) again?,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:93%,Functions&Scope:50%,Lambda Functions:70% | emotion:neutral | pace:steady | slides:57,58,59",0,On-Topic Question
I feel about anxious falling behind.,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:86%,While Loops:43%,Lists&Tuples:64% | emotion:frustrated | pace:normal | slides:27,28,29",2,Emotional-State
i didnt catch that,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:97%,Boolean Logic:97%,If/Else Conditionals:56% | emotion:focused | pace:slow | slides:45,46,47",4,Repeat/clarification
"ease up, I'm still on the last example",,3,Pace-Related
skip to the next part!!,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:52%,Strings&Formatting:84%,Arithmetic Operators:64% | emotion:overwhelmed | pace:fast | slides:14,15,16",3,Pace-Related
How long until we get to Error Handling (Try/Except)?,,1,Off-Topic Question
when would i utilize this,,0,On-Topic Question
How long we get to File Handling?,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:33%,Lists&Tuples:99%,Dictionaries:93% | emotion:neutral | pace:steady | slides:13,14,15",1,Off-Topic Question
rewind,,4,Repeat/clarification
What's the difference between the two approaches you showed for While Loops?,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:45%,If/Else Conditionals:51%,For Loops:31% | emotion:excited | pace:rushed | slides:5,6,7",0,On-Topic Question
what should eat? i,,1,Off-Topic Question
wait minute a,,3,Pace-Related
pause,,3,Pace-Related
faster please,,3,Pace-Related
This is really starting to make sense!,,2,Emotional-State
whats ur name,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:anxious | pace:rushed | slides:8,9,10",1,Off-Topic Question
didn't get that,,4,Repeat/clarification
Is there a different way to write Classes and OOP?,,0,On-Topic Question
I feel like I'm not making any progress.,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:50%,If/Else Conditionals:39%,For Loops:92% | emotion:confused | pace:rushed | slides:20,21,22",2,Emotional-State
hello,,1,Off-Topic Question
i dont get it,,0,On-Topic Question
can you write essay an for me,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:57%,Error Handling:90%,Classes&OOP:90% | emotion:anxious | pace:rushed | slides:10,11,12",1,Off-Topic Question
How long until we get to File Handling?,,1,Off-Topic Question
umm can you say that again,,4,Repeat/clarification
can u repeat?,,4,Repeat/clarification
what's arithmetic operators again?,,0,On-Topic Question
"Since I did well on Sets, is Functions and Scope going to be similar?","topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:89%,Dictionaries:88%,Sets:86% | emotion:excited | pace:dragging | slides:54,55,56",0,On-Topic Question
Ca nwe skip this?,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:86%,Sets:80%,Functions&Scope:88% | emotion:frustrated | pace:dragging | slides:54,55,56",3,Pace-Related
so one sec,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:62%,Functions&Scope:77%,Lambda Functions:74% | emotion:overwhelmed | pace:fast | slides:49,50,51",3,Pace-Related
do u play games,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:55%,Strings&Formatting:68%,Arithmetic Operators:75% | emotion:neutral | pace:moderate | slides:42,43,44",1,Off-Topic Question
whats ur name,,1,Off-Topic Question
i hate this,,2,Emotional-State
I FEEL LIKE I'M NOT MAKING ANY PROGRESS.,,2,Emotional-State
What's the point of Dictionaries?,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:58%,While Loops:71%,Lists&Tuples:63% | emotion:neutral | pace:normal | slides:24,25,26",0,On-Topic Question
"I saw someone using Lambda Functions, what does it do?","topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:72%,Arithmetic Operators:73%,Boolean Logic:57% | emotion:focused | pace:rushed | slides:59,60,61",1,Off-Topic Question
this is fun,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:51%,Dictionaries:94%,Sets:68% | emotion:focused | pace:fast | slides:58,59,60",2,Emotional-State
lowkey confused,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:83%,Strings&Formatting:54%,Arithmetic Operators:93% | emotion:bored | pace:rushed | slides:58,59,60",2,Emotional-State
next slide,,3,Pace-Related
so me give the answers,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:100% | emotion:excited | pace:slow | slides:33,34,35",1,Off-Topic Question
